# fig_id	tier	generator	inputs	file	page_id	figure_no	caption	provenance
# One row per image any manual embeds. Audited by scripts/build_manual_figures.py check;
# the column contract is in that script's docstring. Keep rows sorted by fig_id.
eng_conceptual_map	synthetic	src/engine/conceptual_map.py	-	figures/png/eng_conceptual_map.png	engine_manual_ch1_conceptual_model	1-1	Compartments, processes and the formulations that represent them	-
eng_fig3_02_box_culvert	legacy	-	-	manuals/engine/figures/fig3-02-box-culvert.jpg	engine_manual_ch1_conceptual_model	1-4	Concrete box culvert	Concrete Box Culvert.png (retired user manual; converted PNG->JPEG q88 2026-09-19, photograph over 400 KB as PNG)
eng_fig3_03_storm_drain_inlet	legacy	-	-	manuals/engine/figures/fig3-03-storm-drain-inlet.png	engine_manual_ch1_conceptual_model	1-5	Storm drain inlet	Storm Drain Inlet Grate.png
eng_fig3_06_natural_transect	legacy	-	-	manuals/engine/figures/fig3-06-natural-transect.jpg	engine_manual_ch1_conceptual_model	1-8	Example of a natural channel transect	Natural Channel Transect.png (retired user manual; converted PNG->JPEG q88 2026-09-19, photograph over 400 KB as PNG)
eng_fig3_08_dual_drainage	legacy	-	-	manuals/engine/figures/fig3-08-dual-drainage.png	engine_manual_ch1_conceptual_model	1-10	Representation of a dual drainage system	Dual Drainage System.png
eng_fig3_09_hec22_inlets	legacy	-	-	manuals/engine/figures/fig3-09-hec22-inlets.png	engine_manual_ch1_conceptual_model	1-11	HEC-22 inlets supported by SWMM	HEC22 Inlets.png
eng_fig3_10_lid_adjustment	legacy	-	-	manuals/engine/figures/fig3-10-lid-adjustment.png	engine_manual_ch1_conceptual_model	1-12	Adjustment of subcatchment parameters after LID placement	LID Parameter Adjustment.png
eng_figure1_1_urban_sewershed	legacy	-	-	manuals/engine/figures/figure1_1_urban_sewershed.jpg	engine_manual	-	Urban wet weather flows	Urban Wet Weather Flows Diagram.png (retired user manual; converted PNG->JPEG q88 2026-09-19, photograph over 400 KB as PNG)
eng_hydrocouple_logo	legacy	-	-	images/hydrocouple_logo.png	-	-	-	Doxyfile PROJECT_LOGO; README.md; python/docs/index.rst
eng_lid_bioretention_layers	synthetic	src/quality/ch6_lid_stacks.py	-	figures/png/eng_lid_bioretention_layers.png	engine_manual_ch1_conceptual_model	1-15	Conceptual diagram of a bio-retention cell LID	-
eng_object_sketch	synthetic	src/engine/object_sketch.py	-	figures/png/eng_object_sketch.png	engine_manual_ch1_conceptual_model;hydraulics_ref_ch1_overview;hydrology_ref_ch1_overview;quality_ref_ch1_overview	1-2	Objects of an OpenSWMM model	-
eng_process_flow	synthetic	src/engine/process_flow.py	-	figures/png/eng_process_flow.png	engine_manual_ch1_conceptual_model;hydraulics_ref_ch1_overview;hydrology_ref_ch1_overview;quality_ref_ch1_overview	1-3	Processes modelled by OpenSWMM	-
eng_rdii_unit_hydrograph	synthetic	src/hydrology/ch7_rtk_unit_hydrograph.py	-	figures/png/eng_rdii_unit_hydrograph.png	engine_manual_ch1_conceptual_model	1-7	An RDII unit hydrograph	-
hydraulics_ch3_virtual_junction	synthetic	src/hydraulics/ch3_virtual_junction.py	-	figures/png/hydraulics_ch3_virtual_junction.png	hydraulics_ref_ch3_dynamic_wave	3-10	A regular junction and a virtual junction at a grade break	-
hydraulics_ch5_circular_theta	synthetic	src/hydraulics/ch5_xsect_gallery.py	-	figures/png/hydraulics_ch5_circular_theta.png	hydraulics_ref_ch5_cross_section	-	Definition sketch of the circular section: central angle θ	-
hydraulics_ch5_power_law	synthetic	src/hydraulics/ch5_xsect_gallery.py	-	figures/png/hydraulics_ch5_power_law.png	hydraulics_ref_ch5_cross_section	5-1	Power law cross section shape	-
hydraulics_ch5_shapes_composite	synthetic	src/hydraulics/ch5_xsect_gallery.py	-	figures/png/hydraulics_ch5_shapes_composite.png	hydraulics_ref_ch5_cross_section	5-6	Composite cross section shapes	-
