# source: Vasconcelos, Wright and Roe (2006) Fig. 6 -- raster image vasconcelos2006_p07_Im6.tiff extracted from the
#   publisher PDF at native resolution (see results/_p6/figures_native/).
# quantity: pressure head (m) at x = 14.1 m, SI.  time zero = the event.
# note: model markers and the experimental line are inseparable before ~41 s (the paper reports agreement over the first 40 s); the band centreline is digitized and the trace is cut at 41 s, past which the band is model-only (air-cavity intrusion, out of scope)
# x calibration (px -> s):   111.5 -> 0.0   873.0 -> 50.0  (axis box = axis limits)
# y calibration (px -> val): 131.5 -> 0.4   719.0 -> 0.0  (axis box = axis limits)
# open model markers removed by hole-filling; per-column longest ink run.
# digitized 2026-08-31 by scripts/digitize/vasconcelos_bilevel.py fig6_e3_p141
time_s,head_m
0.1641,0.30162
0.2298,0.30094
0.2955,0.30094
0.3611,0.30060
0.4268,0.30026
0.4924,0.29957
0.5581,0.29889
0.6238,0.29923
0.6894,0.29889
0.7551,0.29889
0.8207,0.29889
0.8864,0.29889
0.9521,0.29889
1.0177,0.29889
1.0834,0.29889
1.1490,0.29889
1.2147,0.29923
1.2804,0.29889
1.3460,0.29889
1.4117,0.29855
1.4773,0.29855
1.5430,0.29889
1.6087,0.29889
1.6743,0.29889
1.7400,0.29889
1.8056,0.29889
1.8713,0.29889
1.9370,0.29889
2.0026,0.29889
2.0683,0.29889
2.1339,0.29889
2.1996,0.29855
2.2653,0.29787
2.3309,0.29719
2.3966,0.29685
2.4622,0.29685
2.5279,0.29685
2.5936,0.29651
2.6592,0.29617
2.7249,0.29583
2.7905,0.29583
2.8562,0.29583
2.9219,0.29549
2.9875,0.29515
3.0532,0.29481
3.1188,0.29447
3.1845,0.29413
3.2502,0.29379
3.3158,0.29345
3.3815,0.29277
3.4471,0.29277
3.5128,0.29209
3.5785,0.29174
3.6441,0.29106
3.7098,0.29072
3.7754,0.29038
3.8411,0.29004
3.9068,0.28970
3.9724,0.28936
4.0381,0.28868
4.1037,0.28766
4.1694,0.28698
4.2351,0.28698
4.3007,0.28664
4.3664,0.28596
4.4320,0.28528
4.4977,0.28460
4.5634,0.28426
4.6290,0.28391
4.6947,0.28357
4.7603,0.28255
4.8260,0.28221
4.8917,0.28119
4.9573,0.28051
5.0230,0.27949
5.0886,0.27915
5.1543,0.27847
5.2200,0.27847
5.2856,0.27779
5.3513,0.27745
5.4169,0.27677
5.4826,0.27643
5.5483,0.27540
5.6139,0.27472
5.6796,0.27336
5.7452,0.27302
5.8109,0.27200
5.8766,0.27166
5.9422,0.27098
6.0079,0.27064
6.0735,0.26928
6.1392,0.26894
6.2049,0.26860
6.2705,0.26791
6.3362,0.26757
6.4018,0.26689
6.4675,0.26621
6.5332,0.26553
6.5988,0.26451
6.6645,0.26383
6.7301,0.26383
6.7958,0.26281
6.8615,0.26213
6.9271,0.26145
6.9928,0.26043
7.0584,0.25974
7.1241,0.25872
7.1898,0.25872
7.2554,0.25804
7.3211,0.25770
7.3867,0.25702
7.4524,0.25634
7.5181,0.25566
7.5837,0.25430
7.6494,0.25362
7.7150,0.25362
7.7807,0.25362
7.8464,0.25260
7.9120,0.25191
7.9777,0.25123
8.0433,0.25021
8.1090,0.24953
8.1747,0.24953
8.2403,0.24851
8.3060,0.24851
8.3716,0.24783
8.4373,0.24749
8.5030,0.24681
8.5686,0.24613
8.6343,0.24511
8.6999,0.24511
8.7656,0.24477
8.8313,0.24443
8.8969,0.24409
8.9626,0.24340
9.0282,0.24272
9.0939,0.24272
9.1596,0.24306
9.2252,0.24136
9.2909,0.24102
9.3565,0.24068
9.4222,0.24068
9.4879,0.24068
9.5535,0.24034
9.6192,0.23932
9.6848,0.23898
9.7505,0.23864
9.8162,0.23864
9.8818,0.23864
9.9475,0.23864
10.0131,0.23796
10.0788,0.23762
10.1445,0.23728
10.2101,0.23762
10.2758,0.23762
10.3414,0.23626
