# source: Vasconcelos, Wright and Roe (2006) Fig. 5 -- raster image vasconcelos2006_p07_Im5.tiff extracted from the
#   publisher PDF at native resolution (see results/_p6/figures_native/).
# quantity: water velocity (m/s) at x = 9.9 m, SI.  time zero = the event.
# note: figure ordinate is cm/s; converted to m/s (x 0.01)
# x calibration (px -> s):   103.0 -> 0.0   876.5 -> 50.0  (axis box = axis limits)
# y calibration (px -> val): 131.0 -> 0.0   737.5 -> -6.0  (axis box = axis limits)
# open model markers removed by hole-filling; per-column longest ink run.
# digitized 2026-08-31 by scripts/digitize/vasconcelos_bilevel.py fig5_e3_v99
time_s,velocity_mps
0.1293,-0.00109
0.1939,-0.00104
0.2586,-0.00099
0.3232,-0.00089
0.3878,-0.00089
0.4525,-0.00094
0.5171,-0.00163
0.5818,-0.00168
0.6464,-0.00267
0.7111,-0.00267
0.7757,-0.00064
0.8403,-0.00064
0.9050,-0.00376
0.9696,-0.00064
1.0343,-0.00064
1.0989,-0.00064
1.1635,-0.00064
1.2282,-0.00064
1.2928,-0.00064
1.3575,-0.00059
1.4221,-0.00089
1.4867,-0.00143
1.5514,-0.00143
1.6160,-0.00153
1.6807,-0.00228
1.7453,-0.00267
1.8100,-0.00302
1.8746,-0.00326
1.9392,-0.00341
2.0039,-0.00406
2.0685,-0.00425
2.1332,-0.00579
2.1978,-0.00579
2.2624,-0.00722
2.3271,-0.01736
2.3917,-0.00979
2.4564,-0.01825
2.5210,-0.00935
2.5856,-0.00935
2.6503,-0.02013
2.7149,-0.01024
2.7796,-0.01009
2.8442,-0.01004
2.9089,-0.01148
2.9735,-0.02320
3.1028,-0.01331
3.1674,-0.01336
3.2321,-0.01509
3.2967,-0.01434
3.3613,-0.01434
3.4260,-0.01726
3.4906,-0.01617
3.5553,-0.01904
3.6846,-0.01998
3.7492,-0.03146
3.8138,-0.02201
3.8785,-0.02211
3.9431,-0.02107
4.0078,-0.02389
4.0724,-0.02394
4.1370,-0.02320
4.2017,-0.02572
4.2663,-0.02498
4.3956,-0.03744
4.4602,-0.03744
4.5249,-0.02879
4.5895,-0.02889
4.6542,-0.02810
4.7188,-0.03932
4.8481,-0.03141
4.9127,-0.03141
4.9774,-0.04026
5.0420,-0.03462
5.1067,-0.03467
5.1713,-0.03556
5.2359,-0.03586
5.3006,-0.03591
5.3652,-0.03660
5.4299,-0.03705
5.4945,-0.03705
5.5591,-0.04190
5.6238,-0.03868
5.6884,-0.03858
5.7531,-0.03853
5.8177,-0.03853
5.8824,-0.03858
5.9470,-0.04239
6.0116,-0.04239
6.0763,-0.04244
6.1409,-0.04249
6.2056,-0.04254
6.2702,-0.04254
6.3348,-0.04254
6.3995,-0.04254
6.4641,-0.03705
6.5288,-0.03705
6.5934,-0.03710
6.6580,-0.03710
6.7227,-0.03715
6.7873,-0.03715
6.8520,-0.03715
6.9166,-0.03715
6.9813,-0.03754
7.0459,-0.03739
7.1105,-0.03739
7.1752,-0.03739
7.2398,-0.03364
7.3045,-0.03359
7.3691,-0.03324
7.4337,-0.03319
7.4984,-0.04106
7.5630,-0.04101
7.6277,-0.04096
7.6923,-0.03062
7.7569,-0.03057
7.8216,-0.03052
7.8862,-0.03052
7.9509,-0.03052
8.0155,-0.03052
8.0802,-0.02943
8.1448,-0.02938
8.2094,-0.02928
8.2741,-0.02755
8.3387,-0.02750
8.4034,-0.02602
8.4680,-0.02582
8.5326,-0.02562
8.5973,-0.02384
8.6619,-0.02384
8.7266,-0.02379
8.7912,-0.02320
8.8559,-0.02320
8.9205,-0.02236
8.9851,-0.02018
9.0498,-0.01984
9.1144,-0.01979
9.1791,-0.01944
9.2437,-0.01880
9.3083,-0.02918
