# source: Vasconcelos, Wright and Roe (2006) Fig. 3 -- raster image vasconcelos2006_p06_Im3.tiff extracted from the
#   publisher PDF at native resolution (see results/_p6/figures_native/).
# quantity: pressure head (m) at x = 9.9 m, SI.  time zero = the event.
# note: figure ordinate is pressure head VARIATION; +0.073 m (the initial water level, paper p. 557) is added here so the CSV is gauge head at the transducer, which is what matrix.yaml datum 0.0 compares to
# x calibration (px -> s):   117.5 -> 0.0   885.0 -> 15.0  (axis box = axis limits)
# y calibration (px -> val): 18.0 -> 0.4   634.5 -> 0.0  (axis box = axis limits)
# open model markers removed by hole-filling; per-column longest ink run.
# digitized 2026-08-31 by scripts/digitize/vasconcelos_bilevel.py fig3_e2_p99
time_s,head_m
0.0489,0.07722
0.0684,0.07689
0.0879,0.07657
0.1075,0.07592
0.1270,0.07560
0.1466,0.07560
0.1661,0.07560
0.1857,0.07560
0.2052,0.07560
0.2443,0.07527
0.2638,0.07592
0.2834,0.07560
0.3029,0.07527
0.3225,0.07527
0.3420,0.07560
0.3616,0.07560
0.4007,0.07560
0.4202,0.07560
0.4397,0.07560
0.4788,0.07527
0.4984,0.07592
0.5179,0.07560
0.5375,0.07560
0.5570,0.07560
0.5765,0.07560
0.5961,0.07560
0.6156,0.07527
0.6352,0.07560
0.6547,0.07560
0.6743,0.07592
0.6938,0.07527
0.7134,0.07527
0.7329,0.07592
0.7524,0.07592
0.7720,0.07624
0.7915,0.08079
0.8111,0.08079
0.8306,0.08079
0.8502,0.07884
0.8697,0.07916
0.8893,0.07949
0.9088,0.07852
0.9283,0.07852
0.9479,0.07884
0.9674,0.07884
0.9870,0.07916
1.0065,0.07949
1.0261,0.07819
1.0456,0.07722
1.0651,0.07689
1.0847,0.07657
1.1042,0.07624
1.1238,0.07657
1.1433,0.07657
1.1629,0.07657
1.1824,0.07689
1.2020,0.07852
1.2215,0.07884
1.2410,0.07884
1.2606,0.07884
1.2801,0.07819
1.2997,0.07722
1.3192,0.07689
1.3388,0.07689
1.3583,0.07689
1.3779,0.07722
1.3974,0.07754
1.4169,0.07819
1.4365,0.07884
1.4560,0.07852
1.4756,0.07819
1.4951,0.07722
1.5147,0.07722
1.5342,0.07689
1.5537,0.07657
1.5733,0.07657
1.5928,0.07722
1.6124,0.07852
1.6319,0.07884
1.6515,0.07884
1.6710,0.07852
1.6906,0.07787
1.7101,0.07722
1.7296,0.07657
1.7492,0.07657
1.7687,0.07657
1.7883,0.07657
1.8078,0.07689
1.8274,0.07689
1.8469,0.07754
1.8664,0.07852
1.8860,0.07884
1.9055,0.07884
1.9251,0.07819
1.9446,0.07754
1.9642,0.07722
1.9837,0.07657
2.0033,0.07657
2.0228,0.07689
2.0423,0.07722
2.0619,0.07787
2.0814,0.07852
2.1010,0.07884
2.1205,0.07852
2.1401,0.07819
2.1596,0.07722
2.1792,0.07689
2.1987,0.07657
2.2182,0.07689
2.2378,0.07689
2.2573,0.07722
2.2769,0.07819
2.2964,0.07884
2.3160,0.07884
2.3355,0.07819
2.3550,0.07722
2.3746,0.07722
2.3941,0.07689
2.4137,0.07624
2.4332,0.07624
2.4528,0.07657
2.4723,0.07689
2.4919,0.07722
2.5114,0.07787
2.5309,0.07852
2.5505,0.07852
2.5700,0.07852
2.5896,0.07787
2.6091,0.07754
2.6287,0.07689
2.6482,0.07657
2.6678,0.07657
2.6873,0.07689
2.7068,0.07689
2.7264,0.07787
2.7459,0.07819
2.7655,0.07884
2.7850,0.07852
2.8046,0.07787
2.8241,0.07722
2.8436,0.07689
2.8632,0.07657
2.8827,0.07657
2.9023,0.07624
2.9218,0.07689
2.9414,0.07689
2.9609,0.07722
2.9805,0.07787
3.0000,0.07852
3.0195,0.07884
3.0391,0.07819
3.0586,0.07754
3.0782,0.07689
3.0977,0.07657
3.1173,0.07657
3.1368,0.07689
3.1564,0.07722
3.1759,0.07754
3.1954,0.07852
3.2150,0.07884
3.2345,0.07852
3.2541,0.07787
3.2736,0.07689
3.2932,0.07689
3.3127,0.07624
3.3322,0.07689
3.3518,0.07689
3.3713,0.07722
3.3909,0.07787
3.4104,0.07852
3.4300,0.07852
3.4495,0.07787
3.4691,0.07754
3.4886,0.07689
3.5081,0.07689
3.5277,0.07689
3.5472,0.07624
3.5668,0.07624
3.5863,0.07657
3.6059,0.07722
