# source: Pinto et al. (2025) Fig. 7 -- raster image pinto2025_p06_Im7.png extracted from the
#   publisher PDF at native resolution (see results/_p6/figures_native/).
# quantity: water level (m) in the surge tank, SI.  time zero = the event (runner applies t_offset).
# series identified by grey level: experiment 150-195/255, model curves < 110/255.
# x calibration (px -> s):  97.5 -> 0.0   1012.5 -> 40.0   (tick marks)
# y calibration (px -> val): 606.5 -> 0.1   41.0 -> 0.4   (tick marks)
# per-column median of the experiment mask; inset, legend and zoom-box removed.
# digitized 2026-08-31 by scripts/digitize/pinto_grey.py fig7_e2_st
time_s,level_m
2.2077,0.07480
2.2514,0.07480
2.2951,0.07480
2.3388,0.07480
2.3825,0.07480
2.4262,0.07480
2.4699,0.07480
2.5137,0.07480
2.5574,0.07480
2.6011,0.07480
2.6448,0.07480
2.6885,0.07507
2.7322,0.07507
2.7760,0.07507
2.8197,0.07507
2.8634,0.07507
2.9071,0.07507
2.9508,0.07507
2.9945,0.07507
3.0383,0.07507
3.0820,0.07507
3.1257,0.07507
3.1694,0.07533
3.2131,0.07533
3.2568,0.07533
3.3005,0.07533
3.3443,0.07533
3.3880,0.07533
3.4317,0.07533
3.4754,0.07533
3.5191,0.07533
3.5628,0.07533
3.6066,0.07560
3.6503,0.07560
3.6940,0.07560
3.7377,0.07586
3.7814,0.07586
3.8251,0.07586
3.8689,0.07586
3.9126,0.07586
3.9563,0.07586
4.0000,0.07586
4.0437,0.07586
4.0874,0.07586
4.1311,0.07586
4.1749,0.07586
4.2186,0.07586
4.2623,0.07560
4.3060,0.07560
4.3497,0.07560
4.3934,0.07533
4.4372,0.07533
4.4809,0.07533
4.5246,0.07533
4.5683,0.07533
4.6120,0.07533
4.6557,0.07533
4.6995,0.07533
4.7432,0.07533
4.7869,0.07533
4.8306,0.07533
4.8743,0.07507
4.9180,0.07507
4.9617,0.07507
5.0055,0.07507
5.0492,0.07507
5.0929,0.07507
5.1366,0.07507
5.1803,0.07507
5.2240,0.07507
5.2678,0.07507
5.3115,0.07507
5.3552,0.07507
5.3989,0.07507
5.4426,0.07507
5.4863,0.07507
5.5301,0.07507
5.5738,0.07480
5.6175,0.07480
5.6612,0.07480
5.7049,0.07480
5.7486,0.07480
5.7923,0.07480
5.8361,0.07480
5.8798,0.07480
5.9235,0.07480
5.9672,0.07480
6.0109,0.07480
6.0546,0.07480
6.0984,0.07480
6.2732,0.07480
6.3169,0.07480
6.3607,0.07480
6.4044,0.07480
6.4481,0.07480
6.4918,0.07480
6.5355,0.07480
6.5792,0.07480
6.6230,0.07480
6.7541,0.06605
6.8852,0.07480
6.9290,0.07480
6.9727,0.07480
7.0164,0.07480
7.0601,0.07480
7.1038,0.07480
7.1475,0.07507
7.1913,0.07507
7.2350,0.07507
7.2787,0.07507
7.3224,0.07507
7.3661,0.07507
7.4098,0.07507
7.4536,0.07507
7.4973,0.07507
7.5410,0.07507
7.5847,0.07533
7.6284,0.07533
