# source: Pinto et al. (2025) Fig. 6 -- raster image pinto2025_p06_Im6.png extracted from the
#   publisher PDF at native resolution (see results/_p6/figures_native/).
# quantity: water velocity (m/s) at x = 9.9 m, SI.  time zero = the event (runner applies t_offset).
# series identified by grey level: experiment 150-195/255, model curves < 110/255.
# x calibration (px -> s):  99.0 -> 0.0   1012.5 -> 40.0   (tick marks)
# y calibration (px -> val): 488.5 -> 0.0   43.0 -> 0.4   (tick marks)
# per-column median of the experiment mask; inset, legend and zoom-box removed.
# digitized 2026-08-31 by scripts/digitize/pinto_grey.py fig6_e2_v99
time_s,velocity_mps
0.0876,0.00000
0.1314,0.00224
0.1752,0.00269
0.2189,0.00449
0.2627,0.00494
0.3065,0.00494
0.3503,0.00494
0.3941,0.00449
0.4379,0.00404
0.4817,0.00314
0.6130,0.00000
0.6568,0.00314
0.7006,0.00314
0.7444,0.00314
0.7882,0.00000
0.8320,0.00000
0.8758,-0.00314
0.9195,-0.00314
0.9633,-0.00314
1.0071,-0.00314
1.0509,-0.00314
1.0947,-0.00314
1.1385,-0.00314
1.1823,-0.00314
1.2261,0.00000
1.2698,0.00000
1.3136,0.00359
1.3574,0.00404
1.4012,0.00404
1.4450,0.00404
1.4888,0.00404
1.5326,0.00449
1.5764,0.00449
1.6201,0.00494
1.6639,0.00494
1.7077,0.00449
1.7515,0.00449
1.7953,0.00449
1.8391,0.00404
1.8829,0.00404
1.9267,0.00449
1.9704,0.00494
2.0142,0.00494
2.0580,0.00539
2.1018,0.00539
2.1456,0.00494
2.1894,0.00449
2.2332,0.00404
2.2770,0.00224
2.3207,-0.00314
2.3645,-0.00404
2.4083,-0.00404
2.4521,-0.00449
2.4959,-0.00449
2.5397,-0.00404
2.5835,-0.00404
2.6273,-0.00404
2.6710,-0.00359
2.7148,-0.00314
2.7586,-0.00359
2.8024,-0.00404
2.8462,-0.00494
2.8900,-0.00494
2.9338,-0.00494
2.9776,-0.00494
3.0213,-0.00494
3.0651,-0.00449
3.1089,-0.00449
3.1527,-0.00404
3.1965,-0.00404
3.2403,-0.00404
3.2841,-0.00404
3.3279,-0.00269
3.3716,0.00000
3.4154,0.00224
3.4592,0.00314
3.5030,0.00449
3.5468,0.00449
3.5906,0.00449
3.6344,0.00494
3.6782,0.00539
3.7219,0.00584
3.7657,0.00584
3.8095,0.00584
3.8533,0.00584
3.8971,0.00539
3.9409,0.00539
3.9847,0.00539
4.0285,0.00539
4.0722,0.00539
4.1160,0.00539
4.1598,0.00584
4.2036,0.00629
4.2474,0.00584
4.2912,0.00584
4.3350,0.00584
4.3788,0.00629
4.4226,0.00673
4.4663,0.00718
4.5101,0.00808
4.5539,0.00853
4.5977,0.00943
4.6415,0.00898
4.6853,0.00898
4.7291,0.00898
4.7729,0.00898
4.8166,0.00718
4.8604,0.00718
4.9042,-0.00898
4.9480,0.00718
4.9918,0.00718
5.0356,0.00943
5.0794,0.01033
5.1232,0.01077
5.1669,0.01167
5.2107,0.01212
5.2545,0.01212
5.2983,0.01167
5.3421,0.01122
5.3859,0.01033
5.4297,0.00943
5.4735,0.00898
5.5172,0.00898
5.6924,0.01167
5.7362,0.01212
5.7800,0.01661
5.9113,0.04848
5.9551,0.01481
5.9989,0.01751
6.0427,0.01886
6.0865,0.02110
6.1303,0.09877
6.1741,0.15488
6.2178,0.21549
6.2616,0.29675
6.3054,0.30393
6.3492,0.30617
6.3930,0.30932
6.4368,0.31111
6.4806,0.31336
6.5244,0.31695
6.5681,0.32144
6.6119,0.33939
6.6557,0.34209
6.6995,0.39461
6.7433,0.39820
6.7871,0.39865
6.8309,0.39012
6.8747,0.38070
6.9184,0.33221
6.9622,0.33042
7.0060,0.33446
7.0498,0.39192
7.0936,0.34119
7.1374,0.34478
7.1812,0.34792
7.2250,0.36139
7.2687,0.37127
7.3125,0.37262
7.3563,0.36094
7.4001,0.34658
7.4439,0.34433
7.4877,0.34029
7.5315,0.33939
7.5753,0.33760
7.6190,0.33805
7.6628,0.33805
7.7066,0.33850
7.7504,0.34029
7.7942,0.34074
7.8380,0.34164
7.8818,0.34343
7.9256,0.34613
7.9693,0.34792
8.0131,0.35017
8.0569,0.35421
8.1007,0.35690
8.1445,0.36139
8.1883,0.38070
8.2321,0.37845
8.2759,0.37800
8.3196,0.36319
8.3634,0.35780
8.4072,0.34972
8.4510,0.34568
8.4948,0.33670
8.5386,0.32772
8.5824,0.32368
8.6262,0.32054
8.6700,0.31829
8.7137,0.31919
8.7575,0.32009
8.8013,0.32144
8.8451,0.32278
8.8889,0.32233
8.9327,0.32054
8.9765,0.31695
9.0203,0.31515
9.0640,0.31515
9.1078,0.31201
9.1516,0.31066
9.1954,0.30842
9.2392,0.30572
9.2830,0.31201
9.3268,0.31201
9.3706,0.31201
9.4143,0.30932
9.4581,0.30797
9.5019,0.30617
9.5457,0.30258
9.5895,0.30168
9.6333,0.29764
9.6771,0.29181
9.7209,0.28777
9.7646,0.28283
9.8084,0.27699
9.8522,0.27834
9.8960,0.27071
9.9398,0.25230
9.9836,0.23569
10.0274,0.23300
10.0712,0.22357
10.1149,0.22222
10.1587,0.21998
10.2025,0.21279
10.2463,0.20561
10.2901,0.19933
10.3339,0.19798
10.3777,0.19394
10.4215,0.19035
10.4652,0.18721
10.5090,0.18541
10.5528,0.18631
10.5966,0.18676
10.6404,0.18721
10.6842,0.18541
10.7280,0.18406
10.7718,0.18316
10.8155,0.18182
10.8593,0.18810
10.9031,0.19259
10.9469,0.19394
10.9907,0.19304
11.0345,0.19214
11.0783,0.19169
11.1221,0.19125
11.1658,0.18496
11.2096,0.18316
11.2534,0.17104
11.2972,0.16566
11.3410,0.16386
11.3848,0.16162
11.4286,0.15713
11.4724,0.15623
11.5161,0.15488
11.5599,0.15039
11.6037,0.14994
11.6475,0.14949
11.6913,0.15129
11.7351,0.15129
11.7789,0.15039
11.8227,0.15264
11.8664,0.15309
11.9102,0.14635
11.9540,0.14635
11.9978,0.14590
12.0416,0.13962
12.0854,0.13737
12.1292,0.13468
12.1730,0.13154
12.2167,0.12974
12.2605,0.12660
12.3043,0.12525
12.3481,0.12391
12.3919,0.12301
12.4357,0.12211
12.4795,0.12076
12.5233,0.13154
12.5670,0.13244
12.6108,0.13109
12.6546,0.12840
12.6984,0.12570
12.7422,0.12525
12.7860,0.12301
12.8298,0.12076
12.8736,0.11897
12.9174,0.11762
12.9611,0.11582
13.0049,0.11448
13.0487,0.11403
13.0925,0.11313
13.1363,0.10909
13.1801,0.10460
13.2239,0.10101
13.2677,0.09787
13.3114,0.09517
13.3552,0.09158
13.3990,0.08215
13.4428,0.07138
13.4866,0.06869
13.5304,0.06016
13.5742,0.05567
13.6180,0.05342
13.6617,0.05253
13.7055,0.05118
13.7493,0.04938
13.7931,0.04848
13.8369,0.04624
13.8807,0.04444
13.9245,0.04220
13.9683,0.03816
14.0120,0.03861
14.0558,0.03681
14.0996,0.03457
14.1434,0.03232
14.1872,0.02963
14.2310,0.02828
14.2748,0.02873
14.3186,0.02828
14.3623,0.02694
14.4061,0.02290
14.4499,0.02065
14.4937,0.01930
14.5375,0.01661
14.5813,0.01392
14.6251,0.01212
14.6689,0.00808
14.7126,0.00494
14.7564,0.00135
14.8002,0.00000
14.8440,-0.00135
14.8878,-0.00314
14.9316,-0.00673
14.9754,-0.01033
15.0192,-0.01257
15.0629,-0.02110
15.1067,-0.02155
15.1505,-0.02200
15.1943,-0.02155
15.2381,-0.02245
15.2819,-0.03143
15.3257,-0.03322
15.3695,-0.03681
15.4132,-0.03681
15.4570,-0.03906
15.5008,-0.04040
15.5446,-0.04265
15.5884,-0.04489
15.6322,-0.04579
15.6760,-0.04983
15.7198,-0.05073
15.7635,-0.05118
15.8073,-0.05118
15.8511,-0.05118
15.8949,-0.04759
15.9387,-0.04714
16.0263,-0.05746
16.0701,-0.05881
16.1138,-0.05836
16.1576,-0.05657
16.2014,-0.06465
16.2452,-0.06554
16.2890,-0.06599
16.3328,-0.06779
16.3766,-0.06779
16.4204,-0.07183
16.4641,-0.07318
16.5079,-0.07407
16.5517,-0.07407
16.5955,-0.07407
16.6393,-0.07497
16.6831,-0.07542
16.7269,-0.08036
16.7707,-0.08305
16.8144,-0.08620
16.8582,-0.08889
16.9020,-0.09024
16.9458,-0.09203
16.9896,-0.09517
17.0334,-0.09787
17.0772,-0.10011
17.1210,-0.10056
17.1648,-0.09966
17.2085,-0.09966
17.2523,-0.09877
17.2961,-0.10011
17.3399,-0.10191
17.3837,-0.10281
17.4275,-0.10325
17.4713,-0.10415
17.5151,-0.10640
17.5588,-0.10864
17.6026,-0.11089
17.6464,-0.11358
17.6902,-0.11582
17.7340,-0.11627
17.7778,-0.11762
17.8216,-0.12121
17.8654,-0.12391
17.9091,-0.12660
17.9529,-0.12974
17.9967,-0.13109
18.0405,-0.13288
18.0843,-0.13558
18.1281,-0.13782
18.1719,-0.14186
18.2157,-0.14276
18.2594,-0.14456
18.3032,-0.14590
18.3470,-0.14545
18.3908,-0.14411
18.4346,-0.14141
18.4784,-0.14007
18.5222,-0.13782
18.5660,-0.13692
18.6097,-0.13558
18.6535,-0.13378
18.6973,-0.13378
18.7411,-0.13603
18.7849,-0.13692
18.8287,-0.13782
18.8725,-0.14007
18.9163,-0.14231
18.9600,-0.14501
19.0038,-0.14635
19.0476,-0.14725
19.0914,-0.14815
19.1352,-0.14905
19.1790,-0.14949
19.2228,-0.14815
19.2666,-0.14545
19.3103,-0.14231
19.3541,-0.14052
19.3979,-0.13872
19.4417,-0.13558
19.4855,-0.13244
19.5293,-0.13019
19.5731,-0.13019
19.6169,-0.13064
19.6606,-0.12929
19.7044,-0.12660
19.7482,-0.12391
19.7920,-0.12166
19.8358,-0.12031
19.8796,-0.11897
19.9234,-0.11627
19.9672,-0.11358
20.0109,-0.11223
20.0547,-0.11178
20.0985,-0.10819
20.1423,-0.10640
20.1861,-0.10415
20.2299,-0.10191
20.2737,-0.10101
20.3175,-0.09697
20.3612,-0.09517
20.4050,-0.09697
20.4488,-0.09742
20.4926,-0.09966
20.5364,-0.10056
20.5802,-0.10325
20.6240,-0.10370
20.6678,-0.10101
20.7115,-0.10056
20.7553,-0.09787
20.7991,-0.09562
20.8429,-0.09293
20.8867,-0.09203
20.9305,-0.09024
20.9743,-0.08934
21.0181,-0.08754
21.0619,-0.08620
21.1056,-0.08485
21.1494,-0.08485
21.1932,-0.08395
21.2370,-0.08260
21.2808,-0.08126
21.3246,-0.08126
21.3684,-0.08081
21.4122,-0.07946
21.4559,-0.07767
21.4997,-0.07542
21.5435,-0.07273
21.5873,-0.07183
21.6311,-0.07003
21.6749,-0.06734
21.7187,-0.06420
21.7625,-0.06150
21.8062,-0.05746
21.8500,-0.05612
21.8938,-0.05432
21.9376,-0.05208
21.9814,-0.05028
22.0252,-0.04848
22.0690,-0.04759
22.1128,-0.04669
22.1565,-0.04534
22.2003,-0.04400
22.2441,-0.04355
22.2879,-0.04400
22.3317,-0.04355
22.3755,-0.04040
22.4193,-0.03906
22.4631,-0.03771
22.5068,-0.03636
22.5506,-0.03457
22.5944,-0.03187
22.6382,-0.03143
22.6820,-0.03187
22.7258,-0.03277
22.7696,-0.03367
22.8134,-0.03502
22.8571,-0.03412
22.9009,-0.03187
22.9447,-0.03053
22.9885,-0.02873
23.0323,-0.02649
23.0761,-0.02424
23.1199,-0.02020
23.1637,-0.01751
23.2074,-0.01437
23.2512,-0.01212
23.2950,-0.00898
23.3388,-0.00539
23.3826,-0.00180
23.4264,0.00045
23.4702,0.00224
23.5140,0.00449
23.5577,0.00629
23.6015,0.00898
23.6453,0.01033
23.6891,0.01212
23.7329,0.01347
23.7767,0.01437
23.8205,0.01571
23.8643,0.01616
23.9080,0.01706
23.9518,0.01796
23.9956,0.01796
24.0394,0.01526
24.0832,0.01257
24.1270,0.01122
24.1708,0.01033
24.2146,0.00943
24.2583,0.00808
24.3021,0.00943
24.3459,0.01302
24.3897,0.01661
24.4335,0.01975
24.4773,0.02334
24.5211,0.02738
24.5649,0.03098
24.6086,0.03322
24.6524,0.03591
24.6962,0.03861
24.7400,0.03951
24.7838,0.03861
24.8276,0.03861
24.8714,0.03861
24.9152,0.03906
24.9589,0.03951
25.0027,0.03996
25.0465,0.04355
25.0903,0.04444
25.1341,0.04759
25.1779,0.05297
25.2217,0.05746
25.2655,0.06105
25.3093,0.06105
25.3530,0.06150
25.3968,0.05926
25.4406,0.05926
25.4844,0.05432
25.5282,0.05926
25.5720,0.06150
25.6158,0.06240
25.6596,0.06375
25.7033,0.06465
25.7471,0.06465
25.7909,0.06510
25.8347,0.06510
25.8785,0.06375
25.9223,0.05926
25.9661,0.05567
26.0099,0.05612
26.0536,0.05612
26.0974,0.05791
26.1412,0.06195
26.1850,0.06375
26.2288,0.06554
26.2726,0.06554
26.3164,0.06554
26.3602,0.06599
26.4039,0.06824
26.4477,0.07138
26.4915,0.07318
26.5353,0.07318
26.5791,0.07363
26.6229,0.07363
26.6667,0.07363
26.7105,0.07318
26.7542,0.07273
26.7980,0.07228
26.8418,0.07138
26.8856,0.06958
26.9294,0.06734
26.9732,0.06644
27.0170,0.06734
27.0608,0.06824
27.1045,0.06824
27.1483,0.06824
27.1921,0.06824
27.2359,0.06779
27.2797,0.06779
27.3235,0.06779
27.3673,0.06824
27.4111,0.06914
27.4548,0.06958
27.4986,0.07003
27.5424,0.07003
27.5862,0.06958
27.6300,0.06914
27.6738,0.06824
27.7176,0.06689
