domain	function	header	signature
2d	swmm_2d_boundary_edge_count	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_boundary_edge_count(SWMM_Engine engine, int* count);
2d	swmm_2d_edge_get_geometry_bulk	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_edge_get_geometry_bulk(SWMM_Engine engine, double* length, double* nx, double* ny);
2d	swmm_2d_force_clear_all	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_force_clear_all(SWMM_Engine engine);
2d	swmm_2d_force_coupling_flux	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_force_coupling_flux(SWMM_Engine engine, int idx, double value, int mode, int persist);
2d	swmm_2d_force_evap	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_force_evap(SWMM_Engine engine, int idx, double value, int mode, int persist);
2d	swmm_2d_force_evap_uniform	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_force_evap_uniform(SWMM_Engine engine, double value, int mode, int persist);
2d	swmm_2d_force_rainfall	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_force_rainfall(SWMM_Engine engine, int idx, double value, int mode, int persist);
2d	swmm_2d_force_rainfall_uniform	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_force_rainfall_uniform(SWMM_Engine engine, double value, int mode, int persist);
2d	swmm_2d_get_abs_tolerance	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_abs_tolerance(SWMM_Engine engine, double* atol);
2d	swmm_2d_get_continuity_error	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_continuity_error(SWMM_Engine engine, double* err);
2d	swmm_2d_get_coupling_flux	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_coupling_flux(SWMM_Engine engine, int idx, double* flux);
2d	swmm_2d_get_coupling_fluxes_bulk	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_coupling_fluxes_bulk(SWMM_Engine engine, double* fluxes);
2d	swmm_2d_get_cvode_last_step	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_cvode_last_step(SWMM_Engine engine, double* h_last);
2d	swmm_2d_get_cvode_steps	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_cvode_steps(SWMM_Engine engine, long* steps);
2d	swmm_2d_get_depth	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_depth(SWMM_Engine engine, int idx, double* depth);
2d	swmm_2d_get_depths_bulk	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_depths_bulk(SWMM_Engine engine, double* depths);
2d	swmm_2d_get_dry_depth	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_dry_depth(SWMM_Engine engine, double* dry_depth);
2d	swmm_2d_get_edge_bc_cum_flux	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_edge_bc_cum_flux(SWMM_Engine engine, int tri_idx, int edge, double* cum_flux);
2d	swmm_2d_get_edge_bc_flow	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_edge_bc_flow(SWMM_Engine engine, int tri_idx, int edge, double* flow);
2d	swmm_2d_get_edge_bc_head	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_edge_bc_head(SWMM_Engine engine, int tri_idx, int edge, double* head);
2d	swmm_2d_get_edge_bc_slope	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_edge_bc_slope(SWMM_Engine engine, int tri_idx, int edge, double* slope);
2d	swmm_2d_get_edge_bc_type	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_edge_bc_type(SWMM_Engine engine, int tri_idx, int edge, int* bc_type);
2d	swmm_2d_get_edge_conveyance	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_edge_conveyance(SWMM_Engine engine, int tri, int edge, double* conveyance);
2d	swmm_2d_get_edge_conveyance_bulk	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_edge_conveyance_bulk(SWMM_Engine engine, double* conveyance);
2d	swmm_2d_get_edge_flux_bulk	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_edge_flux_bulk(SWMM_Engine engine, double* flux);
2d	swmm_2d_get_head	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_head(SWMM_Engine engine, int idx, double* head);
2d	swmm_2d_get_heads_bulk	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_heads_bulk(SWMM_Engine engine, double* heads);
2d	swmm_2d_get_mass_balance	openswmm_2d.h	SWMM_ENGINE_API int swmm_2d_get_mass_balance(SWMM_Engine engine, double* init_storage, double* final_storage, double* rainfall_in, double* coupling_1d_to_2d_in, double* coupling_2d_to_1d_out, double* outfall_in, double* outfall_out, double* boundary_in, double* boundary_out, double* evap_out);
