domain	qualname	module	kind	signature
2d	Surface2D.__init__	_2d	method	(self, engine_ptr: int) -> None
2d	Surface2D.abs_tolerance	_2d	property	(self) -> float
2d	Surface2D.boundary_edge_count	_2d	property	(self) -> int
2d	Surface2D.continuity_error	_2d	property	(self) -> float
2d	Surface2D.cvode_last_step	_2d	property	(self) -> float
2d	Surface2D.cvode_steps	_2d	property	(self) -> int
2d	Surface2D.dry_depth	_2d	property	(self) -> float
2d	Surface2D.force_clear_all	_2d	method	(self) -> None
2d	Surface2D.force_coupling_flux	_2d	method	(self, idx: int, value: float, *, mode: SurfaceForcingMode=..., persist: ForcingPersist=...) -> None
2d	Surface2D.force_evap	_2d	method	(self, idx: int, value: float, *, mode: SurfaceForcingMode=..., persist: ForcingPersist=...) -> None
2d	Surface2D.force_evap_uniform	_2d	method	(self, value: float, *, mode: SurfaceForcingMode=..., persist: ForcingPersist=...) -> None
2d	Surface2D.force_rainfall	_2d	method	(self, idx: int, value: float, *, mode: SurfaceForcingMode=..., persist: ForcingPersist=...) -> None
2d	Surface2D.force_rainfall_uniform	_2d	method	(self, value: float, *, mode: SurfaceForcingMode=..., persist: ForcingPersist=...) -> None
2d	Surface2D.get_coupling_flux	_2d	method	(self, idx: int) -> float
2d	Surface2D.get_coupling_fluxes	_2d	method	(self) -> npt.NDArray[np.float64]
2d	Surface2D.get_depth	_2d	method	(self, idx: int) -> float
2d	Surface2D.get_depths	_2d	method	(self) -> npt.NDArray[np.float64]
2d	Surface2D.get_edge_bc_cum_flux	_2d	method	(self, tri_idx: int, edge: int) -> float
2d	Surface2D.get_edge_bc_flow	_2d	method	(self, tri_idx: int, edge: int) -> float
2d	Surface2D.get_edge_bc_head	_2d	method	(self, tri_idx: int, edge: int) -> float
2d	Surface2D.get_edge_bc_slope	_2d	method	(self, tri_idx: int, edge: int) -> float
2d	Surface2D.get_edge_bc_type	_2d	method	(self, tri_idx: int, edge: int) -> SurfaceBoundaryType
2d	Surface2D.get_edge_conveyance	_2d	method	(self, tri: int, edge: int) -> float
2d	Surface2D.get_edge_conveyance_bulk	_2d	method	(self) -> npt.NDArray[np.float64]
2d	Surface2D.get_edge_flux_bulk	_2d	method	(self) -> npt.NDArray[np.float64]
2d	Surface2D.get_edge_geometry_bulk	_2d	method	(self) -> tuple[npt.NDArray[np.float64], npt.NDArray[np.float64], npt.NDArray[np.float64]]
2d	Surface2D.get_head	_2d	method	(self, idx: int) -> float
2d	Surface2D.get_heads	_2d	method	(self) -> npt.NDArray[np.float64]
2d	Surface2D.get_mass_balance	_2d	method	(self) -> dict[str, float]
2d	Surface2D.get_net_source	_2d	method	(self, idx: int) -> float
2d	Surface2D.get_rainfall	_2d	method	(self, idx: int) -> float
2d	Surface2D.get_stat_max_continuity_err	_2d	method	(self) -> npt.NDArray[np.float64]
2d	Surface2D.get_stat_max_depths	_2d	method	(self) -> npt.NDArray[np.float64]
2d	Surface2D.get_stat_max_velocities	_2d	method	(self) -> npt.NDArray[np.float64]
2d	Surface2D.get_triangle_area	_2d	method	(self, idx: int) -> float
2d	Surface2D.get_triangle_centroid	_2d	method	(self, idx: int) -> tuple[float, float, float]
2d	Surface2D.get_triangle_coupled_node	_2d	method	(self, tri_idx: int) -> int
2d	Surface2D.get_triangle_mannings	_2d	method	(self, idx: int) -> float
2d	Surface2D.get_triangle_neighbours	_2d	method	(self, idx: int) -> tuple[int, int, int]
2d	Surface2D.get_triangle_tag	_2d	method	(self, idx: int) -> str
2d	Surface2D.get_triangle_vertices	_2d	method	(self, idx: int) -> tuple[int, int, int]
2d	Surface2D.get_vertex_coords	_2d	method	(self) -> tuple[npt.NDArray[np.float64], npt.NDArray[np.float64], npt.NDArray[np.float64]]
2d	Surface2D.get_vertex_coupled_node	_2d	method	(self, vertex_idx: int) -> int
2d	Surface2D.get_vertex_coupling_area	_2d	method	(self, vertex_idx: int) -> float
2d	Surface2D.get_vertex_coupling_cd	_2d	method	(self, vertex_idx: int) -> float
2d	Surface2D.get_vertex_head	_2d	method	(self, idx: int) -> float
2d	Surface2D.get_vertex_heads	_2d	method	(self) -> npt.NDArray[np.float64]
2d	Surface2D.get_vertex_tag	_2d	method	(self, idx: int) -> str
2d	Surface2D.get_vertex_xyz	_2d	method	(self, idx: int) -> tuple[float, float, float]
2d	Surface2D.is_active	_2d	property	(self) -> bool
2d	Surface2D.max_depth	_2d	property	(self) -> float
2d	Surface2D.n_triangles	_2d	property	(self) -> int
2d	Surface2D.n_vertices	_2d	property	(self) -> int
2d	Surface2D.prepare_for_edit	_2d	method	(self) -> None
2d	Surface2D.rel_tolerance	_2d	property	(self) -> float
2d	Surface2D.reset_edge_conveyance	_2d	method	(self) -> None
2d	Surface2D.set_edge_bc_flow	_2d	method	(self, tri_idx: int, edge: int, flow: float) -> None
2d	Surface2D.set_edge_bc_flow_tseries_name	_2d	method	(self, tri_idx: int, edge: int, name: str) -> None
2d	Surface2D.set_edge_bc_head	_2d	method	(self, tri_idx: int, edge: int, head: float) -> None
2d	Surface2D.set_edge_bc_rating_curve_name	_2d	method	(self, tri_idx: int, edge: int, name: str) -> None
2d	Surface2D.set_edge_bc_slope	_2d	method	(self, tri_idx: int, edge: int, slope: float) -> None
2d	Surface2D.set_edge_bc_tseries_name	_2d	method	(self, tri_idx: int, edge: int, name: str) -> None
2d	Surface2D.set_edge_bc_type	_2d	method	(self, tri_idx: int, edge: int, bc_type: SurfaceBoundaryType) -> None
2d	Surface2D.set_edge_conveyance	_2d	method	(self, tri: int, edge: int, conveyance: float) -> None
2d	Surface2D.set_triangle_mannings	_2d	method	(self, idx: int, n: float) -> None
2d	Surface2D.set_triangle_tag	_2d	method	(self, idx: int, tag: str) -> None
2d	Surface2D.set_vertex_coupled_node	_2d	method	(self, vertex_idx: int, node_name: str) -> None
2d	Surface2D.set_vertex_coupling_area	_2d	method	(self, vertex_idx: int, area: float) -> None
2d	Surface2D.set_vertex_coupling_cd	_2d	method	(self, vertex_idx: int, cd: float) -> None
2d	Surface2D.set_vertex_tag	_2d	method	(self, idx: int, tag: str) -> None
2d	Surface2D.set_vertex_z	_2d	method	(self, idx: int, z: float) -> None
2d	Surface2D.total_exchange_flow	_2d	property	(self) -> float
2d	Surface2D.total_volume	_2d	property	(self) -> float
2d	Surface2D.triangle_coupling_count	_2d	property	(self) -> int
2d	Surface2D.vertex_coupling_count	_2d	property	(self) -> int
climate	Climate.__init__	_climate	method	(self, solver: Solver) -> None
controls	Controls.__delitem__	_controls	method	(self, idx: Any) -> None
controls	Controls.__getitem__	_controls	method	(self, idx: Any) -> Any
controls	Controls.__init__	_controls	method	(self, solver: Solver) -> None
controls	Controls.__len__	_controls	method	(self) -> int
controls	Controls.__setitem__	_controls	method	(self, idx: Any, value: Any) -> None
controls	Controls.append	_controls	method	(self, value: Any) -> None
controls	Controls.clear	_controls	method	(self) -> None
controls	Controls.insert	_controls	method	(self, idx: int, value: Any) -> None
controls	Controls.set_link_setting	_controls	method	(self, link: _Key, setting: float) -> None
controls	Controls.set_link_status	_controls	method	(self, link: _Key, *, closed: bool) -> None
controls	Controls.validate_message	_controls	method	(self, rule_text: str) -> Tuple[bool, str]
dates	datetime_to_oadate	_dates	function	(dt: datetime) -> float
dates	oadate_to_datetime	_dates	function	(value: float) -> datetime
datetime	add_seconds	_datetime	function	(value: float, seconds: float) -> float
datetime	decode_date	_datetime	function	(value: float) -> tuple[int, int, int]
datetime	decode_time	_datetime	function	(value: float) -> tuple[int, int, int]
datetime	encode_date	_datetime	function	(year: int, month: int, day: int) -> float
datetime	encode_time	_datetime	function	(hour: int, minute: int, second: int) -> float
datetime	time_diff	_datetime	function	(value1: float, value2: float) -> int
edit	ConversionResult.__init__	_edit	method	(self, new_type: int, cleared_fields: list[str], warnings: list[str]) -> None
edit	ConversionResult.__repr__	_edit	method	(self) -> str
edit	ImpactEntry.__init__	_edit	method	(self, obj_type: int, obj_idx: int, field: str, cascaded: bool) -> None
edit	ImpactEntry.__repr__	_edit	method	(self) -> str
edit	ModelEditor.__init__	_edit	method	(self, engine: object) -> None
edit	ModelEditor.analyze_gage_impact	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.analyze_link_impact	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.analyze_node_impact	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.analyze_subcatch_impact	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.analyze_table_impact	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.analyze_transect_impact	_edit	method	(self, idx: int) -> list[ImpactEntry]
edit	ModelEditor.convert_link	_edit	method	(self, id_or_idx: int | str, new_type: int) -> ConversionResult
edit	ModelEditor.convert_node	_edit	method	(self, id_or_idx: int | str, new_type: int) -> ConversionResult
edit	ModelEditor.delete_gage	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.delete_link	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.delete_node	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.delete_subcatch	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.delete_table	_edit	method	(self, id_or_idx: int | str) -> list[ImpactEntry]
edit	ModelEditor.delete_transect	_edit	method	(self, idx: int) -> list[ImpactEntry]
edit	ModelEditor.gage_count	_edit	property	(self) -> int
edit	ModelEditor.link_count	_edit	property	(self) -> int
edit	ModelEditor.node_count	_edit	property	(self) -> int
edit	ModelEditor.subcatch_count	_edit	property	(self) -> int
edit	ModelEditor.table_count	_edit	property	(self) -> int
