function,domain,called,declared,override,status,note
swmm_2d_boundary_edge_count,2d,True,True,,exposed,
swmm_2d_edge_get_geometry_bulk,2d,True,True,,exposed,
swmm_2d_force_clear_all,2d,True,True,,exposed,
swmm_2d_force_coupling_flux,2d,True,True,,exposed,
swmm_2d_force_evap,2d,True,True,,exposed,
swmm_2d_force_evap_uniform,2d,True,True,,exposed,
swmm_2d_force_rainfall,2d,True,True,,exposed,
swmm_2d_force_rainfall_uniform,2d,True,True,,exposed,
swmm_2d_get_abs_tolerance,2d,True,True,,exposed,
swmm_2d_get_continuity_error,2d,True,True,,exposed,
swmm_2d_get_coupling_flux,2d,True,True,,exposed,
swmm_2d_get_coupling_fluxes_bulk,2d,True,True,,exposed,
swmm_2d_get_cvode_last_step,2d,True,True,,exposed,
swmm_2d_get_cvode_steps,2d,True,True,,exposed,
swmm_2d_get_depth,2d,True,True,,exposed,
swmm_2d_get_depths_bulk,2d,True,True,,exposed,
swmm_2d_get_dry_depth,2d,True,True,,exposed,
swmm_2d_get_edge_bc_cum_flux,2d,True,True,,exposed,
swmm_2d_get_edge_bc_flow,2d,True,True,,exposed,
swmm_2d_get_edge_bc_head,2d,True,True,,exposed,
swmm_2d_get_edge_bc_slope,2d,True,True,,exposed,
swmm_2d_get_edge_bc_type,2d,True,True,,exposed,
swmm_2d_get_edge_conveyance,2d,True,True,,exposed,
swmm_2d_get_edge_conveyance_bulk,2d,True,True,,exposed,
swmm_2d_get_edge_flux_bulk,2d,True,True,,exposed,
swmm_2d_get_head,2d,True,True,,exposed,
swmm_2d_get_heads_bulk,2d,True,True,,exposed,
swmm_2d_get_mass_balance,2d,True,True,,exposed,
swmm_2d_get_max_depth,2d,True,True,,exposed,
swmm_2d_get_net_source,2d,True,True,,exposed,
swmm_2d_get_rainfall,2d,True,True,,exposed,
swmm_2d_get_rel_tolerance,2d,True,True,,exposed,
swmm_2d_get_stat_max_continuity_err,2d,True,True,,exposed,
swmm_2d_get_stat_max_depths,2d,True,True,,exposed,
swmm_2d_get_stat_max_velocities,2d,True,True,,exposed,
swmm_2d_get_total_exchange_flow,2d,True,True,,exposed,
swmm_2d_get_total_volume,2d,True,True,,exposed,
swmm_2d_get_triangle_tag,2d,True,True,,exposed,
swmm_2d_get_vertex_coupling_area,2d,True,True,,exposed,
swmm_2d_get_vertex_coupling_cd,2d,True,True,,exposed,
swmm_2d_get_vertex_tag,2d,True,True,,exposed,
swmm_2d_is_active,2d,True,True,,exposed,
swmm_2d_prepare_for_edit,2d,True,True,,exposed,
swmm_2d_reset_edge_conveyance,2d,True,True,,exposed,
swmm_2d_set_abs_tolerance,2d,True,True,,exposed,
swmm_2d_set_dry_depth,2d,True,True,,exposed,
swmm_2d_set_edge_bc_flow,2d,True,True,,exposed,
swmm_2d_set_edge_bc_flow_tseries_name,2d,True,True,,exposed,
swmm_2d_set_edge_bc_head,2d,True,True,,exposed,
swmm_2d_set_edge_bc_rating_curve_name,2d,True,True,,exposed,
swmm_2d_set_edge_bc_slope,2d,True,True,,exposed,
swmm_2d_set_edge_bc_tseries_name,2d,True,True,,exposed,
swmm_2d_set_edge_bc_type,2d,True,True,,exposed,
swmm_2d_set_edge_conveyance,2d,True,True,,exposed,
swmm_2d_set_rel_tolerance,2d,True,True,,exposed,
swmm_2d_set_triangle_mannings,2d,True,True,,exposed,
swmm_2d_set_triangle_tag,2d,True,True,,exposed,
swmm_2d_set_vertex_coupled_node,2d,True,True,,exposed,
swmm_2d_set_vertex_coupling_area,2d,True,True,,exposed,
swmm_2d_set_vertex_coupling_cd,2d,True,True,,exposed,
swmm_2d_set_vertex_tag,2d,True,True,,exposed,
swmm_2d_set_vertex_z,2d,True,True,,exposed,
swmm_2d_triangle_count,2d,True,True,parity,exposed,via _2d.Surface2D.n_triangles (property).
swmm_2d_triangle_coupling_count,2d,True,True,,exposed,
swmm_2d_triangle_get_area,2d,True,True,,exposed,
swmm_2d_triangle_get_centroid,2d,True,True,,exposed,
swmm_2d_triangle_get_coupled_node,2d,True,True,,exposed,
swmm_2d_triangle_get_mannings,2d,True,True,,exposed,
swmm_2d_triangle_get_neighbours,2d,True,True,,exposed,
swmm_2d_triangle_get_vertices,2d,True,True,,exposed,
swmm_2d_vertex_count,2d,True,True,parity,exposed,via _2d.Surface2D.n_vertices (property).
swmm_2d_vertex_coupling_count,2d,True,True,,exposed,
swmm_2d_vertex_get_coupled_node,2d,True,True,,exposed,
swmm_2d_vertex_get_head,2d,True,True,parity,exposed,"via _2d.Surface2D.get_vertex_heads (bulk-only on Py side, single via index)."
swmm_2d_vertex_get_heads_bulk,2d,True,True,,exposed,
swmm_2d_vertex_get_xyz,2d,True,True,parity,exposed,"via _2d.Surface2D.get_vertex_coords (returns full (x,y,z) tuple)."
swmm_2d_vertex_get_xyz_bulk,2d,True,True,parity,exposed,"via _2d.Surface2D.get_vertex_coords (returns (x,y,z) NumPy arrays)."
swmm_aquifer_add,subcatchments,True,True,,exposed,
swmm_aquifer_count,subcatchments,True,True,,exposed,
swmm_aquifer_get_evap_pattern,subcatchments,True,True,,exposed,
swmm_aquifer_get_param,subcatchments,True,True,,exposed,
swmm_aquifer_id,subcatchments,True,True,,exposed,
swmm_aquifer_index,subcatchments,True,True,,exposed,
swmm_aquifer_set_evap_pattern,subcatchments,True,True,,exposed,
swmm_aquifer_set_param,subcatchments,True,True,,exposed,
swmm_buildup_get,quality,True,True,,exposed,
swmm_buildup_set,quality,True,True,,exposed,
swmm_climate_get_adc_impervious,climate,True,True,,exposed,
swmm_climate_get_adc_pervious,climate,True,True,,exposed,
swmm_climate_get_adjust_conductivity,climate,True,True,,exposed,
swmm_climate_get_adjust_evaporation,climate,True,True,,exposed,
swmm_climate_get_adjust_rainfall,climate,True,True,,exposed,
swmm_climate_get_adjust_temperature,climate,True,True,,exposed,
swmm_climate_get_ati_weight,climate,True,True,,exposed,
swmm_climate_get_dry_only,forcing,True,True,,exposed,
swmm_climate_get_elevation,climate,True,True,,exposed,
swmm_climate_get_evap_monthly,climate,True,True,,exposed,
swmm_climate_get_evap_rate,forcing,True,True,,exposed,
swmm_climate_get_evap_recovery,climate,True,True,,exposed,
swmm_climate_get_evap_timeseries,climate,True,True,,exposed,
swmm_climate_get_evap_type,climate,True,True,,exposed,
swmm_climate_get_latitude,climate,True,True,,exposed,
swmm_climate_get_longitude_correction,climate,True,True,,exposed,
swmm_climate_get_neg_melt_ratio,climate,True,True,,exposed,
swmm_climate_get_pan_coeff,climate,True,True,,exposed,
swmm_climate_get_snow_temp,climate,True,True,,exposed,
swmm_climate_get_temp_file_start,climate,True,True,,exposed,
swmm_climate_get_temp_source,climate,True,True,,exposed,
swmm_climate_get_temp_timeseries,climate,True,True,,exposed,
swmm_climate_get_temp_units,climate,True,True,,exposed,
swmm_climate_get_temperature,forcing,True,True,,exposed,
swmm_climate_get_wind_monthly,climate,True,True,,exposed,
swmm_climate_get_wind_speed,forcing,True,True,,exposed,
swmm_climate_get_wind_type,climate,True,True,,exposed,
swmm_climate_set_adc_impervious,climate,True,True,,exposed,
swmm_climate_set_adc_pervious,climate,True,True,,exposed,
swmm_climate_set_adjust_conductivity,climate,True,True,,exposed,
swmm_climate_set_adjust_evaporation,climate,True,True,,exposed,
swmm_climate_set_adjust_rainfall,climate,True,True,,exposed,
swmm_climate_set_adjust_temperature,climate,True,True,,exposed,
swmm_climate_set_ati_weight,climate,True,True,,exposed,
swmm_climate_set_dry_only,forcing,True,True,,exposed,
swmm_climate_set_elevation,climate,True,True,,exposed,
swmm_climate_set_evap_monthly,climate,True,True,,exposed,
swmm_climate_set_evap_recovery,climate,True,True,,exposed,
swmm_climate_set_evap_timeseries,climate,True,True,,exposed,
swmm_climate_set_evap_type,climate,True,True,,exposed,
swmm_climate_set_latitude,climate,True,True,,exposed,
swmm_climate_set_longitude_correction,climate,True,True,,exposed,
swmm_climate_set_neg_melt_ratio,climate,True,True,,exposed,
swmm_climate_set_pan_coeff,climate,True,True,,exposed,
swmm_climate_set_snow_temp,climate,True,True,,exposed,
swmm_climate_set_temp_file_start,climate,True,True,,exposed,
swmm_climate_set_temp_source,climate,True,True,,exposed,
swmm_climate_set_temp_timeseries,climate,True,True,,exposed,
swmm_climate_set_temp_units,climate,True,True,,exposed,
swmm_climate_set_wind_monthly,climate,True,True,,exposed,
swmm_climate_set_wind_type,climate,True,True,,exposed,
swmm_control_add_rule,controls,True,True,,exposed,
swmm_control_clear_rules,controls,True,True,,exposed,
swmm_control_count,controls,True,True,,exposed,
swmm_control_get_id,controls,True,True,,exposed,
swmm_control_get_rule,controls,True,True,,exposed,
swmm_control_set_link_setting,controls,True,True,,exposed,
swmm_control_set_link_status,controls,True,True,,exposed,
swmm_control_validate_rule,controls,True,True,,exposed,
swmm_conversion_result_free,edit,True,True,intentional,exposed,Python uses GC; _edit.ConversionResult is a TypedDict.
swmm_curve_add,tables,True,True,,exposed,
swmm_datetime_add_seconds,datetime,True,True,,exposed,
swmm_datetime_decode_date,datetime,True,True,,exposed,
swmm_datetime_decode_time,datetime,True,True,,exposed,
swmm_datetime_encode_date,datetime,True,True,,exposed,
swmm_datetime_encode_time,datetime,True,True,,exposed,
swmm_datetime_time_diff,datetime,True,True,,exposed,
swmm_dwf_add,inflows,True,True,,exposed,
swmm_dwf_count,inflows,True,True,,exposed,
swmm_dwf_get,inflows,True,True,,exposed,
swmm_dwf_remove,inflows,True,True,,exposed,
swmm_dwf_set_baseline,inflows,True,True,,exposed,
swmm_engine_close,engine,True,True,,exposed,
swmm_engine_create,engine,True,True,intentional,exposed,SessionManager.create_session owns the engine lifecycle; no standalone tool.
swmm_engine_destroy,engine,True,True,intentional,exposed,SessionManager.close_session / cleanup_all own destruction.
swmm_engine_end,engine,True,True,parity,exposed,via lifecycle.run_simulation / close_model.
swmm_engine_get_state,engine,True,True,,exposed,
swmm_engine_initialize,engine,True,True,parity,exposed,via lifecycle.open_model (calls initialize after open).
swmm_engine_new,model,True,True,intentional,exposed,Solver.__init__ handles engine creation transparently.
swmm_engine_open,engine,True,True,,exposed,
