cls,module,referenced_in_mcp
Aquifers,_subcatchments,True
Climate,_climate,True
ControlRule,_controls,True
Controls,_controls,True
ConversionResult,_edit,False
CoverageView,_subcatchments,False
Curve,_tables,True
DividerView,_nodes,False
EventsView,_solver,False
Forcing,_forcing,True
Gage,_gages,True
Gages,_gages,True
GeoPackage,_geopackage,True
HotStart,_hotstart,True
HydrographEntry,_inflows,True
HydrographGageEntry,_inflows,False
ImpactEntry,_edit,False
InfiltrationView,_subcatchments,True
Inflows,_inflows,True
Infrastructure,_infrastructure,True
Inlets,_infrastructure,True
LIDs,_infrastructure,True
Landuse,_quality,True
Landuses,_quality,True
Link,_links,True
LinkStatsView,_links,False
Links,_links,True
MassBalance,_massbalance,True
ModelBuilder,_model,True
ModelEditor,_edit,True
Node,_nodes,True
NodeStatsView,_nodes,False
Nodes,_nodes,True
OrificeView,_links,False
OutfallView,_nodes,True
OutletView,_links,True
OutputReader,_output_reader,True
Pattern,_tables,True
Patterns,_tables,True
Pollutant,_pollutants,True
Pollutants,_pollutants,True
PumpView,_links,False
Quality,_quality,True
RDIIDecayEntry,_inflows,True
RDIIEntry,_inflows,False
SaveSchedule,_hotstart,True
SaveScheduleEntry,_hotstart,True
SimulationOptions,_solver,False
Snowpacks,_subcatchments,True
Solver,_solver,True
Spatial,_spatial,True
Statistics,_statistics,True
StorageView,_nodes,False
Streets,_infrastructure,True
Subcatchment,_subcatchments,True
SubcatchmentStatsView,_subcatchments,False
Subcatchments,_subcatchments,True
Surface2D,_2d,True
Tables,_tables,True
TimeSeries,_tables,True
Transects,_infrastructure,True
UserFlags,_solver,True
WeirView,_links,False
XSection,_links,True
