function,domain,py
swmm_2d_boundary_edge_count,2d,_2d.Surface2D.boundary_edge_count
swmm_2d_edge_get_geometry_bulk,2d,_2d.Surface2D.get_edge_geometry_bulk
swmm_2d_force_clear_all,2d,_2d.Surface2D.force_clear_all
swmm_2d_force_coupling_flux,2d,_2d.Surface2D.force_coupling_flux
swmm_2d_force_evap,2d,_2d.Surface2D.force_evap
swmm_2d_force_evap_uniform,2d,_2d.Surface2D.force_evap_uniform
swmm_2d_force_rainfall,2d,_2d.Surface2D.force_rainfall
swmm_2d_force_rainfall_uniform,2d,_2d.Surface2D.force_rainfall_uniform
swmm_2d_get_abs_tolerance,2d,_2d.Surface2D.abs_tolerance
swmm_2d_get_continuity_error,2d,_2d.Surface2D.continuity_error
swmm_2d_get_coupling_flux,2d,_2d.Surface2D.get_coupling_flux
swmm_2d_get_coupling_fluxes_bulk,2d,_2d.Surface2D.get_coupling_fluxes
swmm_2d_get_cvode_last_step,2d,_2d.Surface2D.cvode_last_step
swmm_2d_get_cvode_steps,2d,_2d.Surface2D.cvode_steps
swmm_2d_get_depth,2d,_2d.Surface2D.get_depth
swmm_2d_get_depths_bulk,2d,_2d.Surface2D.get_depths
swmm_2d_get_dry_depth,2d,_2d.Surface2D.dry_depth
swmm_2d_get_edge_bc_cum_flux,2d,_2d.Surface2D.get_edge_bc_cum_flux
swmm_2d_get_edge_bc_flow,2d,_2d.Surface2D.get_edge_bc_flow
swmm_2d_get_edge_bc_head,2d,_2d.Surface2D.get_edge_bc_head
swmm_2d_get_edge_bc_slope,2d,_2d.Surface2D.get_edge_bc_slope
swmm_2d_get_edge_bc_type,2d,_2d.Surface2D.get_edge_bc_type
swmm_2d_get_edge_conveyance,2d,_2d.Surface2D.get_edge_conveyance
swmm_2d_get_edge_conveyance_bulk,2d,_2d.Surface2D.get_edge_conveyance_bulk;_2d.Surface2D.get_edge_conveyance
swmm_2d_get_edge_flux_bulk,2d,_2d.Surface2D.get_edge_flux_bulk
swmm_2d_get_head,2d,_2d.Surface2D.get_head
swmm_2d_get_heads_bulk,2d,_2d.Surface2D.get_heads
swmm_2d_get_mass_balance,2d,_2d.Surface2D.get_mass_balance
swmm_2d_get_max_depth,2d,_2d.Surface2D.max_depth
swmm_2d_get_net_source,2d,_2d.Surface2D.get_net_source
swmm_2d_get_rainfall,2d,_2d.Surface2D.get_rainfall
swmm_2d_get_rel_tolerance,2d,_2d.Surface2D.rel_tolerance
swmm_2d_get_stat_max_continuity_err,2d,_2d.Surface2D.get_stat_max_continuity_err
swmm_2d_get_stat_max_depths,2d,_2d.Surface2D.get_stat_max_depths
swmm_2d_get_stat_max_velocities,2d,_2d.Surface2D.get_stat_max_velocities
swmm_2d_get_total_exchange_flow,2d,_2d.Surface2D.total_exchange_flow
swmm_2d_get_total_volume,2d,_2d.Surface2D.total_volume
swmm_2d_get_triangle_tag,2d,_2d.Surface2D.get_triangle_tag
swmm_2d_get_vertex_coupling_area,2d,_2d.Surface2D.get_vertex_coupling_area
swmm_2d_get_vertex_coupling_cd,2d,_2d.Surface2D.get_vertex_coupling_cd
swmm_2d_get_vertex_tag,2d,_2d.Surface2D.get_vertex_tag
swmm_2d_is_active,2d,_2d.Surface2D.is_active
swmm_2d_prepare_for_edit,2d,_2d.Surface2D.prepare_for_edit
swmm_2d_reset_edge_conveyance,2d,_2d.Surface2D.reset_edge_conveyance
swmm_2d_set_abs_tolerance,2d,_2d.Surface2D.abs_tolerance
swmm_2d_set_dry_depth,2d,_2d.Surface2D.dry_depth
swmm_2d_set_edge_bc_flow,2d,_2d.Surface2D.set_edge_bc_flow
swmm_2d_set_edge_bc_flow_tseries_name,2d,_2d.Surface2D.set_edge_bc_flow_tseries_name
swmm_2d_set_edge_bc_head,2d,_2d.Surface2D.set_edge_bc_head
swmm_2d_set_edge_bc_rating_curve_name,2d,_2d.Surface2D.set_edge_bc_rating_curve_name
swmm_2d_set_edge_bc_slope,2d,_2d.Surface2D.set_edge_bc_slope
swmm_2d_set_edge_bc_tseries_name,2d,_2d.Surface2D.set_edge_bc_tseries_name
swmm_2d_set_edge_bc_type,2d,_2d.Surface2D.set_edge_bc_type
swmm_2d_set_edge_conveyance,2d,_2d.Surface2D.set_edge_conveyance
swmm_2d_set_rel_tolerance,2d,_2d.Surface2D.rel_tolerance
swmm_2d_set_triangle_mannings,2d,_2d.Surface2D.set_triangle_mannings
swmm_2d_set_triangle_tag,2d,_2d.Surface2D.set_triangle_tag
swmm_2d_set_vertex_coupled_node,2d,_2d.Surface2D.set_vertex_coupled_node
swmm_2d_set_vertex_coupling_area,2d,_2d.Surface2D.set_vertex_coupling_area
swmm_2d_set_vertex_coupling_cd,2d,_2d.Surface2D.set_vertex_coupling_cd
swmm_2d_set_vertex_tag,2d,_2d.Surface2D.set_vertex_tag
swmm_2d_set_vertex_z,2d,_2d.Surface2D.set_vertex_z
swmm_2d_triangle_coupling_count,2d,_2d.Surface2D.triangle_coupling_count
swmm_2d_triangle_get_area,2d,_2d.Surface2D.get_triangle_area
swmm_2d_triangle_get_centroid,2d,_2d.Surface2D.get_triangle_centroid
swmm_2d_triangle_get_coupled_node,2d,_2d.Surface2D.get_triangle_coupled_node
swmm_2d_triangle_get_mannings,2d,_2d.Surface2D.get_triangle_mannings
swmm_2d_triangle_get_neighbours,2d,_2d.Surface2D.get_triangle_neighbours
swmm_2d_triangle_get_vertices,2d,_2d.Surface2D.get_triangle_vertices
swmm_2d_vertex_coupling_count,2d,_2d.Surface2D.vertex_coupling_count
swmm_2d_vertex_get_coupled_node,2d,_2d.Surface2D.get_vertex_coupled_node
swmm_2d_vertex_get_heads_bulk,2d,_2d.Surface2D.get_vertex_heads
swmm_datetime_add_seconds,datetime,_datetime.add_seconds
swmm_datetime_decode_date,datetime,_datetime.decode_date
swmm_datetime_decode_time,datetime,_datetime.decode_time
swmm_datetime_encode_date,datetime,_datetime.encode_date
swmm_datetime_encode_time,datetime,_datetime.encode_time
swmm_datetime_time_diff,datetime,_datetime.time_diff
swmm_get_flow_units,engine,_solver.Solver.flow_units
swmm_climate_get_dry_only,forcing,_forcing.Forcing.get_climate_dry_only
swmm_climate_get_temperature,forcing,_forcing.Forcing.get_climate_temperature
swmm_climate_get_wind_speed,forcing,_forcing.Forcing.get_climate_wind_speed
swmm_forcing_climate_evap,forcing,_forcing.Forcing.climate_evap
swmm_forcing_climate_temperature,forcing,_forcing.Forcing.climate_temperature
swmm_forcing_climate_wind,forcing,_forcing.Forcing.climate_wind
