module,cls,name
_controls,ControlRule,text
_controls,ControlRule,id
_edit,ConversionResult,cleared_fields
_edit,ConversionResult,new_type
_edit,ImpactEntry,field
_edit,ConversionResult,warnings
_edit,ImpactEntry,obj_idx
_edit,ImpactEntry,obj_type
_edit,ImpactEntry,cascaded
_edit,ImpactEntry,obj_type_name
_hotstart,SaveScheduleEntry,when
_hotstart,SaveScheduleEntry,path
_inflows,HydrographEntry,dinit
_inflows,RDIIEntry,area
_inflows,HydrographEntry,r
_inflows,RDIIDecayEntry,theta_rec
_inflows,HydrographEntry,uh_name
_inflows,RDIIDecayEntry,T_freeze
_inflows,HydrographEntry,k
_inflows,RDIIEntry,uh_name
_inflows,HydrographEntry,drecov
_inflows,HydrographGageEntry,uh_name
_inflows,RDIIDecayEntry,T_ref
_inflows,RDIIEntry,node_index
_inflows,RDIIDecayEntry,k_0
_inflows,HydrographGageEntry,gage_name
_inflows,RDIIDecayEntry,response
_inflows,RDIIDecayEntry,uh_name
_inflows,HydrographEntry,t
_inflows,HydrographEntry,dmax
_inflows,HydrographEntry,month
_inflows,RDIIDecayEntry,k_T
_inflows,RDIIDecayEntry,k_dep
_inflows,HydrographEntry,response
_solver,UserFlagDef,name
_solver,SimulationOptions,ext
_solver,UserFlagDef,type
_solver,,GEOPACKAGE_PLUGIN_ID
_solver,UserFlagDef,description
_subcatchments,GroundwaterParams,tw
_subcatchments,GroundwaterParams,b2
_subcatchments,GroundwaterParams,a1
_subcatchments,GroundwaterParams,surf_elev
_subcatchments,GroundwaterParams,a2
_subcatchments,GroundwaterParams,hstar
_subcatchments,GroundwaterParams,b1
_subcatchments,GroundwaterParams,a3
